code,full_name,institution
MAT2080,Méthode statistique,ESG-UQAM
FIN3500,Gestion Financière,ESG-UQAM
ECO1300,Analyse Microéconomique,ESG-UQAM
ECO2400,Analyse Macroéconomique,ESG-UQAM
SCO1250,Introductions aux sciences comptables,ESG-UQAM
AOT4200,Introduction à la gestion des opérations,ESG-UQAM
SCO2000,Contrôle de gestion,ESG-UQAM
SCO3008,Impôt sur le revenu I,ESG-UQAM
SCO3240,Comptabilité financière intermédiaire II,ESG-UQAM
SCO3001,Comptabilité de management II,ESG-UQAM
SCO2240,Comptabilité financière intermédiaire I,ESG-UQAM
SCO1240,Introduction à la comptabilité financière,ESG-UQAM
FIN5521,Analyse des valeurs mobilières I,ESG-UQAM
FIN5550,Options et contrats à terme,ESG-UQAM
FIN5570,Analyse et évaluation financière d'entreprise,ESG-UQAM
FIN5523,Marché obligataire et taux d'intérêt,ESG-UQAM
FIN5580,Finance multinationale,ESG-UQAM
SCO2001,Comptabilité de management II,ESG-UQAM
SCO4008,Impôt sur le revenu II,ESG-UQAM
FIN8415,Gestion financière,ESG-UQAM
SCO4240,Comptabilité financière avancée I,ESG-UQAM
AOT3220,Recherche opérationnelle,ESG-UQAM
ECO8402,Environnement macroéconomique de l'entreprise,ESG-UQAM
MAT1002,Introduction aux méthodes quantitatives appliquées à la gestion,ESG-UQAM
MAT0343,Calcul différentiel,ESG-UQAM
COMP 10903,Comptabilité financière,HEC Montréal
COMP 10904,Comptabilité de gestion,HEC Montréal
ECON 10803,Décisions microéconomiques de l'entreprise,HEC Montréal
FINA 10200,Finance,HEC Montréal
MATH 10620,Statistiques,HEC Montréal
OPER 10500,Gestion des opérations,HEC Montréal
ECON 10804,L'environement macroéconomique de l'entreprise,HEC Montréal
MATH 30610,Methodes quantitatives en finance,HEC Montréal
COMP 30900,Comprendre les états financiers,HEC Montréal
FINA 30290,Gestion financière I,HEC Montréal
FIN 30291,Gestion financière II,HEC Montréal
FINA 30221,Évaluation de titres de capitaux propres,HEC Montréal
FINA 30230,Évaluation et utilisation des instruments financiers dérivés,HEC Montréal
ECON 30803,Économie managériale,HEC Montréal
ECON 30804,Environnement macroéconomique,HEC Montréal
MATH 30600,Statistiques,HEC Montréal
FINA 10200A,Basic Corporate Finance,HEC Montréal
FINA 20205A,Financial Management,HEC Montréal
FINA 20240A,Financial Statement Analysis,HEC Montréal
FINA 20210A,Futures and Options,HEC Montréal
FINA 20201A,Investments,HEC Montréal
FINA 20205A,Gestion financière,HEC Montréal
FINA 20203,Gestion de portefeuille,HEC Montréal
FINA 20210 ,Options et contrats à terme,HEC Montréal
FIN1020,Administration financière,Téluq
MAT2080,Méthode statistique,Téluq
SCO1205,Initiation à la comptabilité financière,Téluq
ADM1420,Gestion des opérations,Téluq
ECO1300,Analyse Microéconomique,Téluq
ECO2400,Analyse Macroéconomique,Téluq
MQT1001,Mathématiques appliquées à la gestion,Téluq
MQT2001,Statistiques appliquées à la gestion,Téluq
SCO2001,Initiation à la comptabilité de management,Téluq
CBT-1000,Comptabilité générale,Université Laval
GSF-1020,Économie de l'entreprise,Université Laval
MQT-1102,Probabilités et statistique,Université Laval
CBT-1001,Comptabilité de management,Université Laval
GSF-1000,Finance,Université Laval
GSF-1010,Macroéconomie financière,Université Laval
GSO-1000,Opérations et logistique,Université Laval
GSF-2101,Gestion du portefeuille,Université Laval
GSF-2102,Finance corporative,Université Laval
GSF-3100,Marché des capitaux,Université Laval
GSF-3101,Intro aux produits dérivés,Université Laval
CBT-2100,Comptabilité intermédiaire I,Université Laval
CBT-2101,Comptabilité intermédiaire II,Université Laval
CTB115,Introduction à la comptabilité générale,Université Sherbrooke
CTB321,Comptabilité de gestion,Université Sherbrooke
ECN117,Principes économiques,Université Sherbrooke
FEC222,Éléments de gestion financière,Université Sherbrooke
FEC333,Analyse des décisions financières,Université Sherbrooke
MQG222,Statistique appliquée à la gestion,Université Sherbrooke
MQG344,Gestion des opérations et de la logistique,Université Sherbrooke
CTB230,Comptabilité financière,Université Sherbrooke
FEC442,Valeurs mobilières,Université Sherbrooke
FEC444,Gestion financière approfondie,Université Sherbrooke
FEC452,Intro aux instruments financiers dérivés,Université Sherbrooke
ADM1065,Gestion financière,UQTR
ADM1069,Gestion des opérations,UQTR
CTB1064,Comptabilité de management pour gestionnaires,UQTR
CTB1091,Comptabilité de base pour gestionnaires,UQTR
ECA1010,Analyse macroéconomique de gestion,UQTR
ECA1011,Économie managériale,UQTR
PAF1010,Analyse quantitative de problèmes de gestion,UQTR
ADM1031,Valeurs mobilières,UQTR
BFI1015,Gestion de portefeuille,UQTR
CTB15014,Comptabilité financière,UQAR
ECO12014,Macroéconomie,UQAR
FIN10014,Gestion financière,UQAR
MQT10014,Méthode statistiques en gestion,UQAR
CTB30014,Comptabilité de gestion,UQAR
ECO11014,Microéconomie,UQAR
FIN20014,Gestion financière II,UQAR
FIN20514,Valeurs mobilières,UQAR
2BFI102,Gestion financière,UQAC
2CTB104,Comptabilité: concepts fondamentaux,UQAC
2CTB120,Comptabilité appliquée à la gestion,UQAC
2ECO102,Environnement économique de l'entreprise,UQAC
2GPO202,Gestion des operations en milieu de travail,UQAC
CTB2043,Comptabilité financière pour gestionnaire,UQO
ECN1463,Analyse microéconomique,UQO
FIN1023,Administration financière,UQO
MQT1183,Méthodes statistiques,UQO
CTB2053,Comptabilité de gestion,UQO
ECN1473,Analyse macroéconomique,UQO
MNG1483,Gestion des opérations et de la production,UQO
CCVM,Cours Canadien sur le Commerce des Valeurs Mobilières,CSI
NEGP,Notions essentielles de gestion de patrimoine,CSI
FIC,Fonds d’investissement au Canada,CSI
